,words,predictions
575,dairy,O
576,sheep,O
577,breeds,O
578,.,O
579,Over,O
580,the,O
581,years,O
582,",",O
583,doubts,O
584,have,O
585,arisen,O
586,concerning,O
587,the,O
588,use,O
589,of,O
590,milk,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
591,as,O
592,a,O
593,calcium,O
594,source,O
595,in,O
596,the,O
597,prevention,O
598,of,O
599,osteoporosis,O
600,",",O
601,particularly,O
602,because,O
603,of,O
604,potential,O
605,offsetting,O
606,effects,O
607,of,O
608,protein,O
609,and,O
610,phosphorus,O
611,.,O
612,Thus,O
613,",",O
614,a,O
615,new,O
616,milk,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
617,product,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
618,with,O
619,a,O
620,higher,O
621,calcium,O
622,content,O
623,and,O
624,lower,O
625,contents,O
626,of,O
627,protein,O
628,",",O
629,phosphorus,O
630,",",O
631,and,O
632,energy,O
633,was,O
634,developed,O
635,.,O
636,A,O
637,controlled,O
638,crossover,O
639,study,O
640,was,O
641,done,O
642,to,O
643,determine,O
644,the,O
645,way,O
646,in,O
647,which,O
648,substitution,O
649,of,O
650,the,O
651,new,O
652,milk,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
653,product,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
654,(,O
655,860,O
656,mL,O
657,),O
658,for,O
659,normal,O
660,milk,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
661,(,O
662,1000,O
663,mL,O
664,),O
665,in,O
666,the,O
667,diet,O
668,of,O
669,healthy,O
670,adults,O
671,affected,O
672,the,O
673,urinary,O
674,excretion,O
675,of,O
676,calcium,O
677,and,O
678,hydroxyproline,O
679,.,O
680,Short,O
681,-,O
682,term,O
683,consumption,O
684,of,O
685,the,O
686,product,O
687,significantly,O
688,lowered,O
689,24,O
690,-,O
691,h,O
692,urinary,O
693,calcium,O
694,excretion,O
695,by,O
696,approximately,O
697,0.65,O
698,+,O
699,/-,O
700,0.19,O
701,mmol,O
702,/,O
703,d,O
704,(,O
705,means,O
706,+,O
707,/-,O
708,SEM,O
709,",",O
710,p,O
711,less,O
712,than,O
713,0.001,O
714,),O
715,.,O
716,The,O
717,ratio,O
718,of,O
719,fasting,O
720,urinary,O
721,hydroxyproline,O
722,to,O
723,creatinine,O
724,did,O
725,not,O
726,decrease,O
727,",",O
728,indicating,O
729,no,O
730,significant,O
731,reduction,O
732,of,O
733,bone,O
734,resorption,O
735,in,O
736,our,O
737,subjects,O
738,.,O
739,Elderly,O
740,people,O
741,in,O
742,particular,O
743,might,O
744,benefit,O
745,from,O
746,the,O
747,new,O
748,product,O
749,because,O
750,it,O
751,reduces,O
752,their,O
753,calcium,O
754,loss,O
755,as,O
756,well,O
757,as,O
758,their,O
759,intake,O
760,of,O
761,protein,O
762,",",O
763,phosphorus,O
764,",",O
765,energy,O
766,",",O
767,and,O
768,liquid,O
769,volume,O
770,.,O
771,Growing,O
772,evidence,O
773,from,O
774,animal,O
775,studies,O
776,supports,O
777,the,O
778,anti,O
779,-,O
780,diabetic,O
781,properties,O
782,of,O
783,some,O
784,dietary,O
785,polyphenols,O
786,",",O
787,suggesting,O
788,that,O
789,dietary,O
790,polyphenols,O
791,could,O
792,be,O
793,one,O
794,dietary,O
795,therapy,O
796,for,O
797,the,O
798,prevention,O
799,and,O
800,management,O
801,of,O
802,Type,O
803,2,O
804,diabetes,O
805,.,O
806,This,O
807,review,O
808,aims,O
809,to,O
810,address,O
811,the,O
812,potential,O
813,mechanisms,O
814,of,O
815,action,O
816,of,O
817,dietary,O
818,polyphenols,O
819,in,O
820,the,O
821,regulation,O
822,of,O
823,glucose,O
824,homeostasis,O
825,and,O
826,insulin,O
827,sensitivity,O
828,based,O
829,on,O
830,in,O
831,vitro,O
832,and,O
833,in,O
834,vivo,O
835,studies,O
836,",",O
837,and,O
838,to,O
839,provide,O
840,a,O
841,comprehensive,O
842,overview,O
843,of,O
844,the,O
845,anti,O
846,-,O
847,diabetic,O
848,effects,O
849,of,O
850,commonly,O
851,consumed,O
852,dietary,O
853,polyphenols,O
854,including,O
855,polyphenol,O
856,-,O
857,rich,O
858,mixed,O
859,diets,O
860,",",O
861,tea,B-http://purl.bioontology.org/ontology/SNOMEDCT/16313001
862,and,O
863,coffee,B-http://purl.bioontology.org/ontology/SNOMEDCT/29263009
864,",",O
865,chocolate,B-http://purl.bioontology.org/ontology/SNOMEDCT/102262009
866,and,O
867,cocoa,B-http://purl.bioontology.org/ontology/SNOMEDCT/901000161107
868,",",O
869,cinnamon,B-http://purl.bioontology.org/ontology/SNOMEDCT/227388008
870,",",O
871,grape,O
872,",",O
873,pomegranate,B-http://purl.bioontology.org/ontology/SNOMEDCT/227441008
874,",",O
875,red,B-http://purl.bioontology.org/ontology/SNOMEDCT/58732000;http://purl.bioontology.org/ontology/SNOMEDCT/35748005
876,wine,I-http://purl.bioontology.org/ontology/SNOMEDCT/58732000;http://purl.bioontology.org/ontology/SNOMEDCT/35748005
877,",",O
878,berries,O
879,and,O
880,olive,B-http://purl.bioontology.org/ontology/SNOMEDCT/41834005
881,oil,I-http://purl.bioontology.org/ontology/SNOMEDCT/41834005
882,",",O
883,with,O
884,a,O
885,focus,O
886,on,O
887,human,O
888,clinical,O
889,trials,O
890,.,O
891,Dietary,O
892,polyphenols,O
893,may,O
894,inhibit,O
895,α,O
896,-,O
897,amylase,O
898,and,O
899,α,O
900,-,O
901,glucosidase,O
902,",",O
903,inhibit,O
904,glucose,O
905,absorption,O
906,in,O
907,the,O
908,intestine,O
909,by,O
910,sodium,O
911,-,O
912,dependent,O
913,glucose,O
914,transporter,O
915,1,O
916,(,O
917,SGLT1,O
918,),O
919,",",O
920,stimulate,O
921,insulin,O
922,secretion,O
923,and,O
924,reduce,O
925,hepatic,O
926,glucose,O
927,output,O
928,.,O
929,Polyphenols,O
930,may,O
931,also,O
932,enhance,O
933,insulin,O
934,-,O
935,dependent,O
936,glucose,O
937,uptake,O
938,",",O
939,activate,O
940,5,O
941,',O
942,adenosine,O
943,monophosphate,O
944,-,O
945,activated,O
946,protein,O
947,kinase,O
948,(,O
949,AMPK,O
950,),O
951,",",O
952,modify,O
953,the,O
954,microbiome,O
955,and,O
956,have,O
957,anti,O
958,-,O
959,inflammatory,O
960,effects,O
961,.,O
962,However,O
963,",",O
964,human,O
965,epidemiological,O
966,and,O
967,intervention,O
968,studies,O
969,have,O
970,shown,O
971,inconsistent,O
972,results,O
973,.,O
974,Further,O
975,intervention,O
976,studies,O
977,are,O
978,essential,O
979,to,O
980,clarify,O
981,the,O
982,conflicting,O
983,findings,O
984,and,O
985,confirm,O
986,or,O
987,refute,O
988,the,O
989,anti,O
990,-,O
991,diabetic,O
992,effects,O
993,of,O
994,dietary,O
995,polyphenols,O
996,.,O
997,Overweight,O
998,and,O
999,obesity,O
1000,constitute,O
1001,a,O
1002,global,O
1003,pandemic,O
1004,with,O
1005,devastating,O
1006,consequences,O
1007,that,O
1008,affect,O
1009,>,O
1010,2,O
1011,billion,O
1012,people,O
1013,.,O
1014,Obesity,O
1015,plays,O
1016,a,O
1017,central,O
1018,role,O
1019,in,O
1020,morbidity,O
1021,and,O
1022,mortality,O
1023,of,O
1024,diseases,O
1025,of,O
1026,multiple,O
1027,organs,O
1028,and,O
1029,systems,O
1030,",",O
1031,and,O
1032,it,O
1033,is,O
1034,a,O
1035,major,O
1036,contributor,O
1037,to,O
1038,the,O
1039,growing,O
1040,incidence,O
1041,of,O
1042,cancer,O
1043,.,O
1044,There,O
1045,is,O
1046,now,O
1047,sufficient,O
1048,level,O
1049,of,O
1050,evidence,O
1051,for,O
1052,the,O
1053,association,O
1054,between,O
1055,overweight,O
1056,and,O
1057,11,O
1058,types,O
1059,of,O
1060,cancer,O
1061,",",O
1062,among,O
1063,which,O
1064,are,O
1065,two,O
1066,of,O
1067,the,O
1068,most,O
1069,common,O
1070,cancers,O
1071,worldwide,O
1072,",",O
1073,those,O
1074,of,O
1075,the,O
1076,colorectum,O
1077,and,O
1078,postmenopausal,O
1079,breast,O
1080,.,O
1081,Sedentary,O
1082,lifestyle,O
1083,",",O
1084,unhealthy,O
1085,diet,O
1086,",",O
1087,and,O
1088,excessive,O
1089,alcohol,O
1090,intake,O
1091,also,O
1092,account,O
1093,for,O
1094,the,O
1095,burden,O
1096,of,O
1097,cancer,O
1098,by,O
1099,promoting,O
1100,obesity,O
1101,.,O
1102,The,O
1103,risk,O
1104,of,O
1105,specific,O
1106,types,O
1107,of,O
1108,cancer,O
1109,is,O
1110,also,O
1111,directly,O
1112,influenced,O
1113,",",O
1114,regardless,O
1115,of,O
1116,the,O
1117,magnitude,O
1118,of,O
1119,adiposity,O
1120,",",O
1121,by,O
1122,physical,O
1123,inactivity,O
1124,",",O
1125,consumption,O
1126,of,O
1127,red,B-http://purl.bioontology.org/ontology/SNOMEDCT/226915003;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1128,meat,I-http://purl.bioontology.org/ontology/SNOMEDCT/226915003;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1129,",",O
1130,processed,B-http://purl.bioontology.org/ontology/SNOMEDCT/227031001;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1131,meat,I-http://purl.bioontology.org/ontology/SNOMEDCT/227031001;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1132,and,O
1133,ultra,O
1134,-,O
1135,processed,O
1136,foods,O
1137,",",O
1138,dairy,O
1139,products,O
1140,",",O
1141,alcohol,O
1142,",",O
1143,whole,O
1144,grain,O
1145,cereals,O
1146,",",O
1147,nuts,O
1148,",",O
1149,vegetables,O
1150,",",O
1151,and,O
1152,fruits,O
1153,.,O
1154,Type,O
1155,2,O
1156,diabetes,O
1157,is,O
1158,another,O
1159,global,O
1160,health,O
1161,threat,O
1162,closely,O
1163,associated,O
1164,with,O
1165,obesity,O
1166,that,O
1167,boosts,O
1168,the,O
1169,risk,O
1170,of,O
1171,cancer,O
1172,driven,O
1173,by,O
1174,high,O
1175,BMI,O
1176,.,O
1177,Education,O
1178,to,O
1179,promote,O
1180,positive,O
1181,choices,O
1182,and,O
1183,physical,O
1184,activity,O
1185,and,O
1186,resolute,O
1187,public,O
1188,health,O
1189,interventions,O
1190,on,O
1191,food,O
1192,delivery,O
1193,are,O
1194,requested,O
1195,to,O
1196,reduce,O
1197,the,O
1198,burden,O
1199,of,O
1200,obesity,O
1201,-,O
1202,related,O
1203,cancer,O
1204,and,O
1205,lighten,O
1206,the,O
1207,unsustainable,O
1208,growing,O
1209,expenses,O
1210,to,O
1211,health,O
1212,systems,O
1213,.,O
1214,Spices,O
1215,have,O
1216,been,O
1217,widely,O
1218,used,O
1219,as,O
1220,food,O
1221,flavorings,O
1222,and,O
1223,folk,O
1224,medicines,O
1225,for,O
1226,thousands,O
1227,of,O
1228,years,O
1229,.,O
1230,Numerous,O
1231,studies,O
1232,have,O
1233,documented,O
1234,the,O
1235,antioxidant,O
1236,",",O
1237,anti,O
1238,-,O
1239,inflammatory,O
1240,and,O
1241,immunomodulatory,O
1242,effects,O
1243,of,O
1244,spices,O
1245,",",O
1246,which,O
1247,might,O
1248,be,O
1249,related,O
1250,to,O
1251,prevention,O
1252,and,O
1253,treatment,O
1254,of,O
1255,several,O
1256,cancers,O
1257,",",O
1258,including,O
1259,lung,O
1260,",",O
1261,liver,O
1262,",",O
1263,breast,O
1264,",",O
1265,stomach,O
1266,",",O
1267,colorectum,O
1268,",",O
1269,cervix,O
1270,",",O
1271,and,O
1272,prostate,O
1273,cancers,O
1274,.,O
1275,Several,O
1276,spices,O
1277,are,O
1278,potential,O
1279,sources,O
1280,for,O
1281,prevention,O
1282,and,O
1283,treatment,O
1284,of,O
1285,cancers,O
1286,",",O
1287,such,O
1288,as,O
1289,Curcuma,O
1290,longa,O
1291,(,O
1292,tumeric,O
1293,),O
1294,",",O
1295,Nigella,O
1296,sativa,O
1297,(,O
1298,black,O
1299,cumin,O
1300,),O
1301,",",O
1302,Zingiber,O
1303,officinale,O
1304,(,O
1305,ginger,B-http://purl.bioontology.org/ontology/SNOMEDCT/227400003
1306,),O
1307,",",O
1308,Allium,O
1309,sativum,O
1310,(,O
1311,garlic,B-http://purl.bioontology.org/ontology/SNOMEDCT/735030001
1312,),O
1313,",",O
1314,Crocus,O
1315,sativus,O
1316,(,O
1317,saffron,B-http://purl.bioontology.org/ontology/SNOMEDCT/735010000
1318,),O
1319,",",O
1320,Piper,O
1321,nigrum,O
1322,(,O
1323,black,B-http://purl.bioontology.org/ontology/SNOMEDCT/412060000;http://purl.bioontology.org/ontology/SNOMEDCT/227563001
1324,pepper,I-http://purl.bioontology.org/ontology/SNOMEDCT/412060000;http://purl.bioontology.org/ontology/SNOMEDCT/227563001
1325,),O
1326,and,O
1327,Capsicum,O
1328,annum,O
1329,(,O
1330,chili,B-http://purl.bioontology.org/ontology/SNOMEDCT/227563001
1331,pepper,I-http://purl.bioontology.org/ontology/SNOMEDCT/227563001
1332,),O
1333,",",O
1334,which,O
1335,contained,O
1336,several,O
1337,important,O
1338,bioactive,O
1339,compounds,O
1340,",",O
1341,such,O
1342,as,O
1343,curcumin,O
1344,",",O
1345,thymoquinone,O
1346,",",O
1347,piperine,O
1348,and,O
1349,capsaicin,O
1350,.,O
1351,The,O
1352,main,O
1353,mechanisms,O
1354,of,O
1355,action,O
1356,include,O
1357,inducing,O
1358,apoptosis,O
1359,",",O
1360,inhibiting,O
1361,proliferation,O
1362,",",O
1363,migration,O
1364,and,O
1365,invasion,O
1366,of,O
1367,tumors,O
1368,",",O
1369,and,O
1370,sensitizing,O
1371,tumors,O
1372,to,O
1373,radiotherapy,O
1374,and,O
1375,chemotherapy,O
1376,.,O
1377,This,O
1378,review,O
1379,summarized,O
1380,recent,O
1381,studies,O
1382,on,O
1383,some,O
1384,spices,O
1385,for,O
1386,prevention,O
1387,and,O
1388,treatment,O
1389,of,O
1390,cancers,O
1391,",",O
1392,and,O
1393,special,O
1394,attention,O
1395,was,O
1396,paid,O
1397,to,O
1398,bioactive,O
1399,components,O
1400,and,O
1401,mechanisms,O
1402,of,O
1403,action,O
1404,.,O
1405,It,O
1406,has,O
1407,been,O
1408,suggested,O
1409,that,O
1410,the,O
1411,isoflavone,O
1412,",",O
1413,genistein,O
1414,",",O
1415,",",O
1416,may,O
1417,have,O
1418,some,O
1419,role,O
1420,as,O
1421,a,O
1422,chemopreventive,O
1423,agent,O
1424,against,O
1425,cancer,O
1426,in,O
1427,humans,O
1428,.,O
1429,Levels,O
1430,of,O
1431,genistein,O
1432,and,O
1433,its,O
1434,beta,O
1435,-,O
1436,glucoside,O
1437,conjugate,O
1438,",",O
1439,genistin,O
1440,",",O
1441,ingested,O
1442,in,O
1443,soybeans,O
1444,and,O
1445,related,O
1446,bean,O
1447,products,I-http://purl.bioontology.org/ontology/SNOMEDCT/227003005;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1448,by,O
1449,the,O
1450,Japanese,O
1451,were,O
1452,quantified,O
1453,by,O
1454,HPLC,O
1455,",",O
1456,to,O
1457,estimate,O
1458,daily,O
1459,intake,O
1460,of,O
1461,these,O
1462,compounds,O
1463,.,O
1464,Amounts,O
1465,of,O
1466,genistein,O
1467,and,O
1468,genistin,O
1469,in,O
1470,soybeans,O
1471,",",O
1472,soy,O
1473,nuts,O
1474,and,O
1475,soy,B-http://purl.bioontology.org/ontology/SNOMEDCT/256355007;http://purl.bioontology.org/ontology/SNOMEDCT/256354006;http://purl.bioontology.org/ontology/SNOMEDCT/63766005
1476,powder,I-http://purl.bioontology.org/ontology/SNOMEDCT/256355007;http://purl.bioontology.org/ontology/SNOMEDCT/256354006;http://purl.bioontology.org/ontology/SNOMEDCT/63766005
1477,were,O
1478,in,O
1479,the,O
1480,range,O
1481,of,O
1482,4.6,O
1483,to,O
1484,18.2,O
1485,and,O
1486,200.6,O
1487,to,O
1488,968.1,O
1489,micrograms,O
1490,/,O
1491,g,O
1492,food,O
1493,",",O
1494,respectively,O
1495,.,O
1496,The,O
1497,values,O
1498,for,O
1499,soy,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1500,milk,I-http://purl.bioontology.org/ontology/SNOMEDCT/226793001;http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1501,and,O
1502,tofu,B-http://purl.bioontology.org/ontology/SNOMEDCT/227365007
1503,(,O
1504,bean,O
1505,curd,O
1506,),O
1507,were,O
1508,1.9,O
1509,to,O
1510,13.9,O
1511,and,O
1512,94.8,O
1513,to,O
1514,137.7,O
1515,micrograms,O
1516,/,O
1517,g,O
1518,food,O
1519,",",O
1520,respectively,O
1521,.,O
1522,Levels,O
1523,of,O
1524,isoflavones,O
1525,in,O
1526,fermented,O
1527,soybean,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1528,products,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1529,",",O
1530,miso,B-http://purl.bioontology.org/ontology/SNOMEDCT/227354002
1531,(,O
1532,bean,I-http://purl.bioontology.org/ontology/SNOMEDCT/735211005
1533,paste,I-http://purl.bioontology.org/ontology/SNOMEDCT/227003005;http://purl.bioontology.org/ontology/SNOMEDCT/28647000
1534,),O
1535,and,O
1536,natto,O
1537,(,O
1538,fermented,O
1539,soybeans,O
1540,),O
1541,",",O
1542,were,O
1543,38.5,O
1544,to,O
1545,229.1,O
1546,micrograms,O
1547,/,O
1548,g,O
1549,food,O
1550,for,O
1551,genistein,O
1552,and,O
1553,71.7,O
1554,to,O
1555,492.8,O
1556,micrograms,O
1557,/,O
1558,g,O
1559,food,O
1560,for,O
1561,genistin,O
1562,.,O
1563,Thus,O
1564,",",O
1565,the,O
1566,level,O
1567,of,O
1568,genistein,O
1569,in,O
1570,the,O
1571,fermented,O
1572,soybean,O
1573,products,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1574,was,O
1575,higher,O
1576,than,O
1577,in,O
1578,soy,O
1579,beans,O
1580,and,O
1581,soybean,O
1582,products,O
1583,such,O
1584,as,O
1585,soy,B-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1586,milk,I-http://purl.bioontology.org/ontology/SNOMEDCT/70813002
1587,and,O
1588,tofu,B-http://purl.bioontology.org/ontology/SNOMEDCT/227365007
1589,.,O
1590,From,O
1591,these,O
1592,observations,O
1593,",",O
1594,it,O
1595,is,O
1596,suggested,O
1597,that,O
1598,the,O
1599,beta,O
1600,-,O
1601,glycosyl,O
1602,bond,O
1603,of,O
1604,genistin,O
1605,is,O
1606,cleaved,O
1607,to,O
1608,produce,O
1609,genistein,O
1610,by,O
1611,microbes,O
1612,during,O
1613,fermentation,O
1614,to,O
1615,yield,O
1616,miso,B-http://purl.bioontology.org/ontology/SNOMEDCT/227354002
1617,and,O
1618,natto,B-http://purl.bioontology.org/ontology/SNOMEDCT/227354002
1619,.,O
1620,Soy,B-http://purl.bioontology.org/ontology/SNOMEDCT/227354002;http://purl.bioontology.org/ontology/SNOMEDCT/227566009
